date,text,emotion
Wednesday 08 September 2021,I went for shopping today at the mall and ate lunch with my friend,neutral
Wednesday 08 September 2021,I have been trying to buy a house but I am not able to,neutral
Wednesday 08 September 2021,I did not feel good after going to the party today,worry
"Thursday, 30 September 2021","It went well. I am happy.","neutral"
"Thursday, 30 September 2021","I take out time everyday for my health, I feel good.","enthusiasm"
"Thursday, 30 September 2021","I don't want to go to school","hate"
"Monday, 17 January 2022","It was awesome I went to the garden and played with my friends","happiness"
"Date:1/19/2022","It was great","happiness"
"Date:1/19/2022","It was raining today , I cannot go to school","worry"
Date:2/1/2022,I was not good
,worry,
"Date:2/1/2022","It was great","happiness"
"Date:2/1/2022","I am not well","worry"
"Date:2/1/2022","It was awesome we went to zoo today","neutral"
"Date:2/25/2023","happy","happiness"
"Date:2/25/2023","happy","happiness"
"Date:2/25/2023","sad","sadness"
"Date:2/25/2023","i did not do my exam well","worry"
"Date:2/25/2023","i am crying","worry"
"Date:2/25/2023","Yesterday was so a happy day","happiness"
"Date:2/25/2023","today, i took most of the classes and helped the student to learn how to create apps","sadness"
"Date:2/25/2023","today it was Saturday, i went out and i have enjoyed alot","happiness"
"Date:3/1/2023","It was a good day","happiness"
"Date:3/1/2023","Today I got my marks, from my teachers.","worry"
